epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.003330    0.343497    0.006597    5.312682    5.310860    0.000010    
2           0.050900    0.183628    0.079706    5.087458    4.802983    0.002008    
3           0.092103    0.150567    0.114293    4.691906    4.363843    0.004006    
4           0.115303    0.198145    0.145776    4.372075    4.128954    0.006004    
5           0.158254    0.181781    0.169204    4.156887    3.873073    0.008002    
6           0.184189    0.237140    0.207337    3.969562    3.683465    0.010000    
7           0.216100    0.231647    0.223604    3.755230    3.477429    0.009931    
8           0.231529    0.264974    0.247125    3.623811    3.411247    0.009863    
9           0.257209    0.274438    0.265545    3.478007    3.234702    0.009794    
10          0.286472    0.301133    0.293620    3.363364    3.118004    0.009725    
11          0.305700    0.316523    0.311018    3.262190    3.012578    0.009656    
12          0.323865    0.340618    0.332030    3.165121    2.931491    0.009588    
13          0.338077    0.359797    0.348599    3.073219    2.863385    0.009519    
14          0.337408    0.358510    0.347640    2.991128    2.832109    0.009450    
15          0.361943    0.381449    0.371440    2.915476    2.711696    0.009381    
16          0.372107    0.381455    0.376723    2.844690    2.649030    0.009312    
17          0.373705    0.402829    0.387721    2.787131    2.657486    0.009244    
18          0.389867    0.410660    0.399993    2.731331    2.578482    0.009175    
19          0.398538    0.429028    0.413221    2.677617    2.531413    0.009106    
20          0.406277    0.429392    0.417515    2.624004    2.498085    0.009038    
21          0.404785    0.430366    0.417184    2.584010    2.488799    0.008969    
22          0.407307    0.425884    0.416389    2.536920    2.514904    0.008900    
23          0.426049    0.448954    0.437202    2.502546    2.414204    0.008831    
24          0.424459    0.451166    0.437405    2.455262    2.419183    0.008762    
25          0.430063    0.462001    0.445460    2.427124    2.399912    0.008694    
26          0.431244    0.455175    0.442887    2.390678    2.381733    0.008625    
27          0.435834    0.457733    0.446515    2.356680    2.362744    0.008556    
28          0.433277    0.455796    0.444251    2.329183    2.365153    0.008488    
29          0.438524    0.464827    0.451293    2.307830    2.342443    0.008419    
30          0.443243    0.466551    0.454598    2.273262    2.329785    0.008350    
31          0.444152    0.479952    0.461359    2.237468    2.336761    0.008281    
32          0.442510    0.468517    0.455142    2.225327    2.335363    0.008212    
33          0.451797    0.470533    0.460975    2.190532    2.277965    0.008144    
34          0.453490    0.473028    0.463053    2.167021    2.297207    0.008075    
35          0.459194    0.477683    0.468256    2.144649    2.278827    0.008006    
36          0.458250    0.480462    0.469093    2.118862    2.275856    0.007938    
37          0.451099    0.474734    0.462615    2.101504    2.309515    0.007869    
38          0.463891    0.491097    0.477107    2.079950    2.261921    0.007800    
39          0.462918    0.477630    0.470159    2.049223    2.278815    0.007731    
40          0.459067    0.485141    0.471744    2.039329    2.269779    0.007663    
41          0.463956    0.488564    0.475942    2.016016    2.260958    0.007594    
42          0.469483    0.487326    0.478238    1.996754    2.233558    0.007525    
43          0.470423    0.487505    0.478812    1.968122    2.242336    0.007456    
44          0.473428    0.497113    0.484982    1.949042    2.242969    0.007388    
45          0.475522    0.496352    0.485714    1.935167    2.228432    0.007319    
46          0.474855    0.491942    0.483247    1.920705    2.228278    0.007250    
47          0.474725    0.492607    0.483501    1.902694    2.223945    0.007181    
48          0.472377    0.489589    0.480829    1.879211    2.259350    0.007112    
49          0.470401    0.489365    0.479696    1.867098    2.247500    0.007044    
50          0.477283    0.497469    0.487167    1.855812    2.241999    0.006975    
51          0.476315    0.496537    0.486216    1.831593    2.232514    0.006906    
52          0.484151    0.499363    0.491639    1.813287    2.229018    0.006838    
53          0.482617    0.495758    0.489099    1.797716    2.226514    0.006769    
54          0.479549    0.493911    0.486624    1.785969    2.228016    0.006700    
55          0.483553    0.496470    0.489926    1.770779    2.236537    0.006631    
56          0.475599    0.495975    0.485573    1.746280    2.274731    0.006562    
57          0.476481    0.497045    0.486546    1.738731    2.266413    0.006494    
58          0.483597    0.503796    0.493490    1.718541    2.237783    0.006425    
59          0.480516    0.499400    0.489776    1.705991    2.257311    0.006356    
60          0.476631    0.496825    0.486518    1.692918    2.263971    0.006288    
61          0.482192    0.497785    0.489864    1.685096    2.246901    0.006219    
62          0.480395    0.495527    0.487844    1.669682    2.253113    0.006150    
63          0.476667    0.498277    0.487233    1.653928    2.270912    0.006081    
64          0.478238    0.494481    0.486224    1.640889    2.262585    0.006013    
65          0.484196    0.495894    0.489975    1.624677    2.248472    0.005944    
66          0.487243    0.500702    0.493881    1.613997    2.266872    0.005875    
67          0.480632    0.493944    0.487197    1.599947    2.301277    0.005806    
68          0.475647    0.495575    0.485406    1.587940    2.295805    0.005737    
69          0.478282    0.495131    0.486561    1.575863    2.303768    0.005669    
70          0.481219    0.490557    0.485843    1.554379    2.307471    0.005600    
71          0.483562    0.493593    0.488526    1.551221    2.279823    0.005531    
72          0.479137    0.490297    0.484653    1.530580    2.290848    0.005463    
73          0.474952    0.490711    0.482703    1.520259    2.313509    0.005394    
74          0.484356    0.497218    0.490703    1.510510    2.291878    0.005325    
75          0.492422    0.504162    0.498223    1.499435    2.291382    0.005256    
76          0.480563    0.495582    0.487957    1.486800    2.334121    0.005188    
77          0.476724    0.490433    0.483481    1.476226    2.319741    0.005119    
78          0.486571    0.496090    0.491285    1.462665    2.289112    0.005050    
79          0.481147    0.497595    0.489233    1.450495    2.317352    0.004981    
80          0.481778    0.492591    0.487125    1.438324    2.333997    0.004913    
81          0.481250    0.492478    0.486799    1.428979    2.305771    0.004844    
82          0.477645    0.490367    0.483922    1.412872    2.343355    0.004775    
83          0.483760    0.499019    0.491271    1.405286    2.349644    0.004706    
84          0.485239    0.500407    0.492706    1.393280    2.342557    0.004638    
85          0.482323    0.493968    0.488076    1.382025    2.341104    0.004569    
86          0.483092    0.495572    0.489252    1.375989    2.354363    0.004500    
87          0.484256    0.504112    0.493985    1.356633    2.366247    0.004431    
88          0.480960    0.495648    0.488194    1.354720    2.369245    0.004363    
89          0.482759    0.500745    0.491587    1.340511    2.366788    0.004294    
90          0.477502    0.492646    0.484956    1.333507    2.363964    0.004225    
91          0.477339    0.486058    0.481659    1.322195    2.384842    0.004156    
92          0.481252    0.491141    0.486146    1.304715    2.395780    0.004088    
93          0.473850    0.485110    0.479414    1.294765    2.401587    0.004019    
94          0.475002    0.481648    0.478302    1.290689    2.390342    0.003950    
95          0.475421    0.484185    0.479763    1.278122    2.396226    0.003881    
96          0.476996    0.489907    0.483366    1.266831    2.393719    0.003813    
97          0.475888    0.483614    0.479720    1.254591    2.416199    0.003744    
98          0.475657    0.484671    0.480122    1.249669    2.416726    0.003675    
99          0.474552    0.485832    0.480126    1.238771    2.410539    0.003606    
100         0.477077    0.488421    0.482682    1.228842    2.417282    0.003537    
101         0.471242    0.482551    0.476829    1.219147    2.442106    0.003469    
102         0.470336    0.483682    0.476916    1.212071    2.455577    0.003400    
103         0.471901    0.486095    0.478893    1.204065    2.438226    0.003331    
104         0.478318    0.486655    0.482450    1.194117    2.439906    0.003262    
105         0.479379    0.486243    0.482787    1.181706    2.444118    0.003194    
