epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.008439    0.308836    0.016428    5.319569    5.315990    0.000010    
2           0.040266    0.176917    0.065601    5.138136    4.866695    0.002008    
3           0.094087    0.148547    0.115205    4.673255    4.318494    0.004006    
4           0.127586    0.151810    0.138648    4.344497    4.045779    0.006004    
5           0.163827    0.178917    0.171040    4.113256    3.808315    0.008002    
6           0.181900    0.198967    0.190051    3.913553    3.712524    0.010000    
7           0.217895    0.234754    0.226011    3.728536    3.492208    0.009931    
8           0.236128    0.254355    0.244903    3.599679    3.345082    0.009863    
9           0.260038    0.264285    0.262144    3.467014    3.230774    0.009794    
10          0.277416    0.279124    0.278267    3.341909    3.131596    0.009725    
11          0.304474    0.313978    0.309153    3.250686    3.027775    0.009656    
12          0.321196    0.328519    0.324816    3.144240    2.915839    0.009588    
13          0.318600    0.335900    0.327021    3.052652    2.921261    0.009519    
14          0.331306    0.356160    0.343284    2.962267    2.830956    0.009450    
15          0.349423    0.368023    0.358482    2.901640    2.757630    0.009381    
16          0.368467    0.378904    0.373612    2.829871    2.697563    0.009312    
17          0.378865    0.392124    0.385381    2.765073    2.609883    0.009244    
18          0.389776    0.413107    0.401103    2.704026    2.608132    0.009175    
19          0.389376    0.401709    0.395446    2.650729    2.570386    0.009106    
20          0.399085    0.416416    0.407566    2.606689    2.522086    0.009038    
21          0.409069    0.423535    0.416177    2.559880    2.471137    0.008969    
22          0.412594    0.427656    0.419990    2.509633    2.464376    0.008900    
23          0.420729    0.434492    0.427500    2.460121    2.414964    0.008831    
24          0.414602    0.429098    0.421726    2.419967    2.421605    0.008762    
25          0.426198    0.442105    0.434006    2.385833    2.403296    0.008694    
26          0.428537    0.444704    0.436471    2.356634    2.370614    0.008625    
27          0.436698    0.453216    0.444804    2.316972    2.350064    0.008556    
28          0.436054    0.452086    0.443925    2.284739    2.330690    0.008488    
29          0.443516    0.462342    0.452733    2.243791    2.316231    0.008419    
30          0.440817    0.457358    0.448935    2.221153    2.330231    0.008350    
31          0.446661    0.463954    0.455143    2.188318    2.288105    0.008281    
32          0.449571    0.457931    0.453713    2.165809    2.283524    0.008212    
33          0.447428    0.465250    0.456165    2.137258    2.290890    0.008144    
34          0.454138    0.464813    0.459413    2.108448    2.260491    0.008075    
35          0.452308    0.469232    0.460615    2.078496    2.274853    0.008006    
36          0.457400    0.476293    0.466656    2.051912    2.250229    0.007938    
37          0.459111    0.483510    0.470995    2.030214    2.277135    0.007869    
38          0.465337    0.480992    0.473035    2.003345    2.247639    0.007800    
39          0.467613    0.478943    0.473210    1.982395    2.227050    0.007731    
40          0.463799    0.478724    0.471143    1.955744    2.260032    0.007663    
41          0.465140    0.478388    0.471671    1.941334    2.234129    0.007594    
42          0.465330    0.478875    0.472005    1.916061    2.239281    0.007525    
43          0.468778    0.481363    0.474987    1.883827    2.230052    0.007456    
44          0.463348    0.480217    0.471632    1.873845    2.243427    0.007388    
45          0.471323    0.481112    0.476167    1.850252    2.204091    0.007319    
46          0.463698    0.479829    0.471626    1.824199    2.235534    0.007250    
47          0.471163    0.488121    0.479492    1.808664    2.223054    0.007181    
48          0.475988    0.487455    0.481653    1.782799    2.219606    0.007112    
49          0.469213    0.481854    0.475449    1.771676    2.202094    0.007044    
50          0.470724    0.481830    0.476212    1.749844    2.244125    0.006975    
51          0.467252    0.479628    0.473359    1.735841    2.249581    0.006906    
52          0.470885    0.485758    0.478206    1.710301    2.228630    0.006838    
53          0.471697    0.484225    0.477879    1.690673    2.234240    0.006769    
54          0.476308    0.492799    0.484413    1.672690    2.246735    0.006700    
55          0.473305    0.488475    0.480770    1.662278    2.255138    0.006631    
56          0.478676    0.488849    0.483709    1.640063    2.238205    0.006562    
57          0.477869    0.489681    0.483703    1.618318    2.246997    0.006494    
58          0.476718    0.487475    0.482036    1.603614    2.253839    0.006425    
59          0.479878    0.493153    0.486425    1.598101    2.256015    0.006356    
60          0.473083    0.487592    0.480228    1.571545    2.252108    0.006288    
61          0.476505    0.493074    0.484648    1.569599    2.272983    0.006219    
62          0.479567    0.486987    0.483249    1.547794    2.267431    0.006150    
63          0.479831    0.494451    0.487031    1.520698    2.276226    0.006081    
64          0.478168    0.490871    0.484436    1.508365    2.267864    0.006013    
65          0.477646    0.489908    0.483699    1.493041    2.277230    0.005944    
66          0.477388    0.483644    0.480495    1.475482    2.279425    0.005875    
67          0.478658    0.492973    0.485710    1.455970    2.273451    0.005806    
68          0.486521    0.497627    0.492011    1.447810    2.282572    0.005737    
69          0.479636    0.495167    0.487278    1.434169    2.311120    0.005669    
70          0.474572    0.485108    0.479782    1.417244    2.303224    0.005600    
71          0.478153    0.487184    0.482626    1.400645    2.296166    0.005531    
72          0.481363    0.489670    0.485481    1.394721    2.313827    0.005463    
73          0.472959    0.481473    0.477178    1.369945    2.339837    0.005394    
74          0.479217    0.486875    0.483015    1.360522    2.311950    0.005325    
75          0.474134    0.481103    0.477593    1.344803    2.334761    0.005256    
76          0.480471    0.488969    0.484683    1.333273    2.317727    0.005188    
77          0.476790    0.487969    0.482314    1.314007    2.368547    0.005119    
78          0.479289    0.487462    0.483341    1.302383    2.341227    0.005050    
79          0.480430    0.489899    0.485118    1.290884    2.351681    0.004981    
80          0.473002    0.477270    0.475126    1.277672    2.376052    0.004913    
81          0.479949    0.488281    0.484079    1.263384    2.379517    0.004844    
82          0.474346    0.487835    0.480996    1.252874    2.401465    0.004775    
83          0.471741    0.484612    0.478090    1.243584    2.413160    0.004706    
84          0.481387    0.489421    0.485371    1.227870    2.390016    0.004638    
85          0.477894    0.487499    0.482649    1.216272    2.412929    0.004569    
86          0.472877    0.484856    0.478792    1.196630    2.406752    0.004500    
87          0.475784    0.485775    0.480728    1.185024    2.419448    0.004431    
88          0.474408    0.485602    0.479940    1.172900    2.425533    0.004363    
89          0.472575    0.482413    0.477443    1.160126    2.433835    0.004294    
90          0.472846    0.485499    0.479089    1.158780    2.458176    0.004225    
91          0.471155    0.478530    0.474814    1.140679    2.459959    0.004156    
92          0.472835    0.480891    0.476829    1.128011    2.457961    0.004088    
93          0.474927    0.481443    0.478163    1.118731    2.438883    0.004019    
94          0.472145    0.483036    0.477528    1.107516    2.474982    0.003950    
95          0.473204    0.479332    0.476248    1.095342    2.478170    0.003881    
96          0.472917    0.480999    0.476924    1.081220    2.504755    0.003813    
97          0.470984    0.479230    0.475071    1.077741    2.480559    0.003744    
98          0.478281    0.482765    0.480513    1.065425    2.474116    0.003675    
