epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.006468    0.052582    0.011519    5.373050    5.345747    0.000010    
2           0.061902    0.120623    0.081817    4.949865    4.606112    0.002008    
3           0.114884    0.130882    0.122362    4.515259    4.198614    0.004006    
4           0.155588    0.155841    0.155715    4.220335    3.875438    0.006004    
5           0.193889    0.227631    0.209409    3.953912    3.634744    0.008002    
6           0.216065    0.244790    0.229533    3.770918    3.486134    0.010000    
7           0.236193    0.269158    0.251600    3.568734    3.360753    0.009931    
8           0.274009    0.292958    0.283167    3.433862    3.187864    0.009863    
9           0.297354    0.320467    0.308478    3.290571    3.087580    0.009794    
10          0.300066    0.323240    0.311222    3.192777    3.049614    0.009725    
11          0.329881    0.355481    0.342203    3.084713    2.894876    0.009656    
12          0.343523    0.355630    0.349472    2.990295    2.832067    0.009588    
13          0.361393    0.372705    0.366962    2.914639    2.736308    0.009519    
14          0.369715    0.383235    0.376354    2.826952    2.670843    0.009450    
15          0.379985    0.393434    0.386592    2.767770    2.629217    0.009381    
16          0.384669    0.410300    0.397071    2.703198    2.619392    0.009312    
17          0.392503    0.414136    0.403029    2.651154    2.578661    0.009244    
18          0.394590    0.412179    0.403193    2.591326    2.555056    0.009175    
19          0.403718    0.423154    0.413208    2.554319    2.522925    0.009106    
20          0.417079    0.435069    0.425884    2.504271    2.463947    0.009038    
21          0.423105    0.441847    0.432273    2.459029    2.436216    0.008969    
22          0.420778    0.436718    0.428600    2.414196    2.432965    0.008900    
23          0.434444    0.452245    0.443166    2.382449    2.388513    0.008831    
24          0.443193    0.455142    0.449088    2.345187    2.333717    0.008762    
25          0.434359    0.447574    0.440868    2.305873    2.383517    0.008694    
26          0.438387    0.467918    0.452672    2.282102    2.388472    0.008625    
27          0.444915    0.462363    0.453471    2.252459    2.342962    0.008556    
28          0.446496    0.464503    0.455322    2.222873    2.329143    0.008488    
29          0.450649    0.464399    0.457420    2.188720    2.327426    0.008419    
30          0.447829    0.463681    0.455617    2.173417    2.327450    0.008350    
31          0.449017    0.467063    0.457862    2.137085    2.320563    0.008281    
32          0.455609    0.470389    0.462881    2.116809    2.311523    0.008212    
33          0.459660    0.473208    0.466335    2.096691    2.291899    0.008144    
34          0.454231    0.470557    0.462250    2.073204    2.298468    0.008075    
35          0.456110    0.466487    0.461240    2.048952    2.301503    0.008006    
36          0.449183    0.458421    0.453755    2.025824    2.309791    0.007938    
37          0.460845    0.468485    0.464634    2.000684    2.305225    0.007869    
38          0.450376    0.466700    0.458393    1.989562    2.332505    0.007800    
39          0.455160    0.473304    0.464055    1.973240    2.308031    0.007731    
40          0.456463    0.473556    0.464853    1.944580    2.307013    0.007663    
41          0.457818    0.473858    0.465700    1.926142    2.301209    0.007594    
42          0.455632    0.479174    0.467107    1.909347    2.323339    0.007525    
43          0.443908    0.466625    0.454983    1.887662    2.357317    0.007456    
44          0.459796    0.472228    0.465929    1.873007    2.323106    0.007388    
45          0.458505    0.473464    0.465864    1.859163    2.326387    0.007319    
46          0.457038    0.465986    0.461468    1.838315    2.332402    0.007250    
47          0.461082    0.477246    0.469025    1.820060    2.329103    0.007181    
48          0.458688    0.475697    0.467038    1.809310    2.343480    0.007112    
49          0.463980    0.477412    0.470600    1.790054    2.320663    0.007044    
50          0.460622    0.473866    0.467150    1.773838    2.336917    0.006975    
51          0.460869    0.477157    0.468872    1.757446    2.336590    0.006906    
52          0.457993    0.470119    0.463977    1.737717    2.363612    0.006838    
53          0.458941    0.474367    0.466527    1.730271    2.346042    0.006769    
54          0.462277    0.471202    0.466696    1.711767    2.343366    0.006700    
55          0.459774    0.471557    0.465591    1.701813    2.338072    0.006631    
56          0.454823    0.468600    0.461609    1.685392    2.346896    0.006562    
57          0.463617    0.473143    0.468332    1.669878    2.340835    0.006494    
58          0.461223    0.475323    0.468167    1.664539    2.363528    0.006425    
59          0.461950    0.477673    0.469680    1.644766    2.349535    0.006356    
60          0.463925    0.475499    0.469641    1.630662    2.360099    0.006288    
61          0.453244    0.469177    0.461073    1.610981    2.404681    0.006219    
62          0.461657    0.476900    0.469155    1.608627    2.392770    0.006150    
63          0.461078    0.474207    0.467550    1.590981    2.374619    0.006081    
64          0.460522    0.473516    0.466929    1.575612    2.400965    0.006013    
65          0.458647    0.467190    0.462879    1.570766    2.384975    0.005944    
66          0.461034    0.471996    0.466451    1.552324    2.402453    0.005875    
67          0.457464    0.472453    0.464837    1.542955    2.402943    0.005806    
68          0.455512    0.473059    0.464119    1.526558    2.411561    0.005737    
69          0.466026    0.476303    0.471108    1.512021    2.396146    0.005669    
70          0.464724    0.473804    0.469220    1.503373    2.385051    0.005600    
71          0.460420    0.470962    0.465631    1.498264    2.403509    0.005531    
72          0.460419    0.472844    0.466549    1.481808    2.431569    0.005463    
73          0.460236    0.474896    0.467451    1.461837    2.435783    0.005394    
74          0.458395    0.470564    0.464400    1.457524    2.426660    0.005325    
75          0.460460    0.472397    0.466352    1.448674    2.437111    0.005256    
76          0.455539    0.474359    0.464759    1.427291    2.456716    0.005188    
77          0.459806    0.471845    0.465748    1.420608    2.427219    0.005119    
78          0.450175    0.466026    0.457963    1.415904    2.506097    0.005050    
79          0.453196    0.467346    0.460163    1.400980    2.494943    0.004981    
80          0.456788    0.466548    0.461617    1.394478    2.488852    0.004913    
81          0.454326    0.470468    0.462256    1.382969    2.491979    0.004844    
82          0.449439    0.467034    0.458068    1.373172    2.502576    0.004775    
83          0.453515    0.466332    0.459834    1.360704    2.477573    0.004706    
84          0.455694    0.467345    0.461446    1.349958    2.485352    0.004638    
85          0.456290    0.466457    0.461318    1.341785    2.496634    0.004569    
86          0.457994    0.465191    0.461564    1.327786    2.503886    0.004500    
87          0.452936    0.463805    0.458306    1.316774    2.515689    0.004431    
88          0.454629    0.469938    0.462157    1.309883    2.537903    0.004363    
89          0.451181    0.464304    0.457649    1.298866    2.535073    0.004294    
90          0.447124    0.463674    0.455248    1.289845    2.562608    0.004225    
91          0.444425    0.452364    0.448360    1.283722    2.551118    0.004156    
92          0.454699    0.467002    0.460769    1.274267    2.531859    0.004088    
93          0.458766    0.467899    0.463288    1.268325    2.526275    0.004019    
94          0.450917    0.468649    0.459612    1.256655    2.566640    0.003950    
95          0.452134    0.463861    0.457922    1.241647    2.553422    0.003881    
96          0.454075    0.463519    0.458748    1.231908    2.565441    0.003813    
97          0.454338    0.465798    0.459997    1.223506    2.577025    0.003744    
98          0.449606    0.463465    0.456430    1.214628    2.560416    0.003675    
99          0.447747    0.458841    0.453226    1.208503    2.603231    0.003606    
