epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.003330    0.343498    0.006597    5.312682    5.310860    0.000010    
2           0.050680    0.183255    0.079401    5.087458    4.802984    0.002008    
3           0.091316    0.156930    0.115452    4.691928    4.365242    0.004006    
4           0.118132    0.196549    0.147570    4.373181    4.116316    0.006004    
5           0.154260    0.186315    0.168779    4.159677    3.879397    0.008002    
6           0.190241    0.233173    0.209530    3.971339    3.665860    0.010000    
7           0.210437    0.237243    0.223037    3.765174    3.507862    0.009931    
8           0.221150    0.258879    0.238532    3.628855    3.454568    0.009863    
9           0.256546    0.278792    0.267207    3.483617    3.243132    0.009794    
10          0.282948    0.296386    0.289511    3.371477    3.119991    0.009725    
11          0.308443    0.323974    0.316018    3.273738    3.007485    0.009656    
12          0.312975    0.335339    0.323771    3.170402    2.956367    0.009588    
13          0.332153    0.351757    0.341674    3.075552    2.872543    0.009519    
14          0.336557    0.358928    0.347383    2.990330    2.830107    0.009450    
15          0.362750    0.377115    0.369793    2.918898    2.713776    0.009381    
16          0.373604    0.383958    0.378710    2.846302    2.662984    0.009312    
17          0.381927    0.406043    0.393616    2.789030    2.627739    0.009244    
18          0.389507    0.408646    0.398847    2.728486    2.597590    0.009175    
19          0.394237    0.419039    0.406260    2.677294    2.544427    0.009106    
20          0.406814    0.428005    0.417141    2.626747    2.502202    0.009038    
21          0.410451    0.430226    0.420106    2.585401    2.482945    0.008969    
22          0.409906    0.432929    0.421103    2.540036    2.491623    0.008900    
23          0.421769    0.446092    0.433590    2.505585    2.431691    0.008831    
24          0.429825    0.450955    0.440137    2.461359    2.403157    0.008762    
25          0.432399    0.458882    0.445247    2.421259    2.409614    0.008694    
26          0.428739    0.452632    0.440362    2.385844    2.414223    0.008625    
27          0.440134    0.462151    0.450874    2.357234    2.371113    0.008556    
28          0.436389    0.457885    0.446878    2.326065    2.373044    0.008488    
29          0.440516    0.465333    0.452584    2.307581    2.367497    0.008419    
30          0.443627    0.469862    0.456367    2.272737    2.344464    0.008350    
31          0.450451    0.476332    0.463030    2.247029    2.322947    0.008281    
32          0.451476    0.483251    0.466824    2.225124    2.315888    0.008212    
33          0.452266    0.473369    0.462577    2.194899    2.295375    0.008144    
34          0.448868    0.475768    0.461926    2.170922    2.319887    0.008075    
35          0.449084    0.473710    0.461068    2.145366    2.303486    0.008006    
36          0.465209    0.487778    0.476226    2.122454    2.261341    0.007938    
37          0.453062    0.474279    0.463428    2.102107    2.297080    0.007869    
38          0.460193    0.480235    0.470000    2.081454    2.269768    0.007800    
39          0.454081    0.465843    0.459887    2.053560    2.285122    0.007731    
40          0.459802    0.479356    0.469375    2.040460    2.269045    0.007663    
41          0.465790    0.484337    0.474883    2.015347    2.262144    0.007594    
42          0.469412    0.488025    0.478538    1.998733    2.243443    0.007525    
43          0.467087    0.485869    0.476293    1.964273    2.255569    0.007456    
44          0.472074    0.491942    0.481803    1.952608    2.242419    0.007388    
45          0.469410    0.483191    0.476201    1.939091    2.240918    0.007319    
46          0.469927    0.489334    0.479434    1.923268    2.247733    0.007250    
47          0.472465    0.491688    0.481885    1.904742    2.239782    0.007181    
48          0.467385    0.488177    0.477555    1.881579    2.247789    0.007112    
49          0.468612    0.486439    0.477359    1.869940    2.258282    0.007044    
50          0.474727    0.492928    0.483657    1.854084    2.234032    0.006975    
51          0.472938    0.487212    0.479969    1.832178    2.226777    0.006906    
52          0.479168    0.495251    0.487077    1.815803    2.231124    0.006838    
53          0.473426    0.485849    0.479557    1.801002    2.237351    0.006769    
54          0.476080    0.485251    0.480622    1.785655    2.238260    0.006700    
55          0.470039    0.488594    0.479137    1.769966    2.267590    0.006631    
56          0.473668    0.485486    0.479504    1.756555    2.248421    0.006562    
57          0.474765    0.487641    0.481116    1.741442    2.264273    0.006494    
58          0.479280    0.500459    0.489640    1.717839    2.237730    0.006425    
59          0.475658    0.496447    0.485831    1.706619    2.253630    0.006356    
60          0.479995    0.499218    0.489418    1.696160    2.254400    0.006288    
61          0.479251    0.489939    0.484536    1.679332    2.238777    0.006219    
62          0.477002    0.492418    0.484587    1.667773    2.253459    0.006150    
63          0.470060    0.488562    0.479133    1.655268    2.281397    0.006081    
64          0.480078    0.491546    0.485744    1.642753    2.249177    0.006013    
65          0.480789    0.499736    0.490079    1.625721    2.253997    0.005944    
66          0.475416    0.489417    0.482315    1.610538    2.278115    0.005875    
67          0.481349    0.489250    0.485267    1.607389    2.252923    0.005806    
68          0.477981    0.498504    0.488027    1.592676    2.258110    0.005737    
69          0.475639    0.487083    0.481293    1.568656    2.276760    0.005669    
70          0.484883    0.494814    0.489798    1.557262    2.278958    0.005600    
71          0.476175    0.485550    0.480817    1.547854    2.287963    0.005531    
72          0.476906    0.488176    0.482475    1.544510    2.295627    0.005463    
73          0.482409    0.496872    0.489534    1.526258    2.299017    0.005394    
74          0.475584    0.492873    0.484074    1.511827    2.298429    0.005325    
75          0.474918    0.488679    0.481700    1.497001    2.296593    0.005256    
76          0.476706    0.491721    0.484097    1.492258    2.313533    0.005188    
77          0.477576    0.489531    0.483479    1.483515    2.308860    0.005119    
78          0.473349    0.485568    0.479380    1.466399    2.329799    0.005050    
79          0.477152    0.493579    0.485226    1.451774    2.316537    0.004981    
80          0.478669    0.489574    0.484060    1.443653    2.318245    0.004913    
81          0.471129    0.486054    0.478475    1.428505    2.319938    0.004844    
82          0.479607    0.485936    0.482751    1.410468    2.302198    0.004775    
83          0.475706    0.493266    0.484327    1.406311    2.351724    0.004706    
84          0.471400    0.489796    0.480422    1.393601    2.348423    0.004638    
85          0.474422    0.486150    0.480214    1.387310    2.342075    0.004569    
86          0.476147    0.487942    0.481972    1.376220    2.352169    0.004500    
87          0.476752    0.489257    0.482923    1.358843    2.359874    0.004431    
88          0.476524    0.489076    0.482718    1.355653    2.357668    0.004363    
89          0.472877    0.484166    0.478455    1.337564    2.383526    0.004294    
90          0.471518    0.481835    0.476621    1.329518    2.382369    0.004225    
91          0.475134    0.488286    0.481620    1.322820    2.369463    0.004156    
92          0.475649    0.487869    0.481681    1.306988    2.400151    0.004088    
93          0.472082    0.483848    0.477892    1.298785    2.400492    0.004019    
94          0.472463    0.484292    0.478304    1.288642    2.404019    0.003950    
95          0.474677    0.483693    0.479143    1.273401    2.391825    0.003881    
96          0.474816    0.491916    0.483215    1.270200    2.400328    0.003813    
97          0.474455    0.483940    0.479151    1.256246    2.411459    0.003744    
98          0.476044    0.483807    0.479894    1.254537    2.388707    0.003675    
99          0.474946    0.485703    0.480264    1.238004    2.412458    0.003606    
100         0.474243    0.485381    0.479747    1.228063    2.413495    0.003537    
