epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.003330    0.343496    0.006597    5.312682    5.310860    0.000010    
2           0.050789    0.183283    0.079537    5.087457    4.802970    0.002008    
3           0.091827    0.154606    0.115220    4.691926    4.364560    0.004006    
4           0.117145    0.190272    0.145011    4.372494    4.118529    0.006004    
5           0.153307    0.178711    0.165037    4.159518    3.880381    0.008002    
6           0.183602    0.219868    0.200106    3.972390    3.668005    0.010000    
7           0.211226    0.256144    0.231527    3.753296    3.490355    0.009931    
8           0.231755    0.266316    0.247836    3.616773    3.404956    0.009863    
9           0.260740    0.287456    0.273447    3.471530    3.233647    0.009794    
10          0.288354    0.304863    0.296379    3.366512    3.126605    0.009725    
11          0.313118    0.332828    0.322672    3.266665    2.991116    0.009656    
12          0.316624    0.337767    0.326854    3.156053    2.940248    0.009588    
13          0.334100    0.360706    0.346894    3.064408    2.859536    0.009519    
14          0.337148    0.362591    0.349407    2.989292    2.861972    0.009450    
15          0.365472    0.382181    0.373640    2.915906    2.698082    0.009381    
16          0.369987    0.386891    0.378250    2.840321    2.670407    0.009312    
17          0.386559    0.399193    0.392774    2.783581    2.609093    0.009244    
18          0.390029    0.406202    0.397951    2.729810    2.582445    0.009175    
19          0.404296    0.433179    0.418239    2.675194    2.520502    0.009106    
20          0.409497    0.436113    0.422386    2.625899    2.505554    0.009038    
21          0.410857    0.434847    0.422512    2.577759    2.502558    0.008969    
22          0.412840    0.433617    0.422973    2.542697    2.488688    0.008900    
23          0.426170    0.447256    0.436459    2.497728    2.406739    0.008831    
24          0.427705    0.456005    0.441402    2.460753    2.406901    0.008762    
25          0.425251    0.455196    0.439714    2.423222    2.397783    0.008694    
26          0.433264    0.453835    0.443311    2.389999    2.370794    0.008625    
27          0.436597    0.453694    0.444982    2.360744    2.348262    0.008556    
28          0.432586    0.458926    0.445367    2.324332    2.370531    0.008488    
29          0.441593    0.461354    0.451257    2.305673    2.337085    0.008419    
30          0.442835    0.463461    0.452913    2.269782    2.343731    0.008350    
31          0.444831    0.473262    0.458606    2.242622    2.317876    0.008281    
32          0.449368    0.476537    0.462554    2.219381    2.321580    0.008212    
33          0.454407    0.475727    0.464823    2.189901    2.268192    0.008144    
34          0.452958    0.477691    0.464996    2.164015    2.298102    0.008075    
35          0.462334    0.483890    0.472866    2.138788    2.257475    0.008006    
36          0.461005    0.482215    0.471371    2.120536    2.279635    0.007938    
37          0.451199    0.473454    0.462059    2.102876    2.309436    0.007869    
38          0.459767    0.478751    0.469067    2.078084    2.276483    0.007800    
39          0.466071    0.474581    0.470288    2.047593    2.243425    0.007731    
40          0.471297    0.490948    0.480922    2.034567    2.247796    0.007663    
41          0.464529    0.481860    0.473036    2.015149    2.266932    0.007594    
42          0.465904    0.486252    0.475860    1.998902    2.241485    0.007525    
43          0.471737    0.487386    0.479434    1.970122    2.228098    0.007456    
44          0.471742    0.496897    0.483993    1.945116    2.241274    0.007388    
45          0.472886    0.491653    0.482087    1.937580    2.224561    0.007319    
46          0.468908    0.489577    0.479020    1.922408    2.225525    0.007250    
47          0.478966    0.491986    0.485389    1.903326    2.203868    0.007181    
48          0.465551    0.483173    0.474199    1.882497    2.244922    0.007112    
49          0.476659    0.491652    0.484039    1.865377    2.248250    0.007044    
50          0.475319    0.493839    0.484402    1.847904    2.229585    0.006975    
51          0.474821    0.493831    0.484139    1.831167    2.229581    0.006906    
52          0.478348    0.488557    0.483399    1.814172    2.231709    0.006838    
53          0.471355    0.484050    0.477618    1.801181    2.239378    0.006769    
54          0.473587    0.489347    0.481338    1.785228    2.233295    0.006700    
55          0.474279    0.488338    0.481206    1.767807    2.231765    0.006631    
56          0.473253    0.490817    0.481875    1.751730    2.249464    0.006562    
57          0.475442    0.486904    0.481104    1.730573    2.267752    0.006494    
58          0.478435    0.499236    0.488614    1.727877    2.261204    0.006425    
59          0.476616    0.495717    0.485979    1.710487    2.245515    0.006356    
60          0.476285    0.493669    0.484821    1.695126    2.253202    0.006288    
61          0.478264    0.496501    0.487212    1.683505    2.256948    0.006219    
62          0.479461    0.491746    0.485526    1.666821    2.245986    0.006150    
63          0.477995    0.495613    0.486645    1.651377    2.242562    0.006081    
64          0.473775    0.487420    0.480501    1.634399    2.245164    0.006013    
65          0.474006    0.491452    0.482571    1.625920    2.280075    0.005944    
66          0.474943    0.492264    0.483449    1.612405    2.266552    0.005875    
67          0.473574    0.487610    0.480490    1.604525    2.290121    0.005806    
68          0.474295    0.497342    0.485545    1.583004    2.295231    0.005737    
69          0.469933    0.488417    0.478996    1.574383    2.309468    0.005669    
70          0.474930    0.489123    0.481922    1.555362    2.295779    0.005600    
71          0.479869    0.491982    0.485850    1.551794    2.277692    0.005531    
72          0.480715    0.492063    0.486323    1.535587    2.304519    0.005463    
73          0.481211    0.495429    0.488216    1.523204    2.291889    0.005394    
74          0.480463    0.491596    0.485966    1.507809    2.268921    0.005325    
75          0.478255    0.489339    0.483734    1.502339    2.294644    0.005256    
76          0.479098    0.491508    0.485224    1.485818    2.310492    0.005188    
77          0.474181    0.486452    0.480238    1.478211    2.334688    0.005119    
78          0.480098    0.489189    0.484601    1.460526    2.314085    0.005050    
79          0.473791    0.488870    0.481212    1.452027    2.348184    0.004981    
80          0.475324    0.487691    0.481428    1.443875    2.323206    0.004913    
81          0.472991    0.485443    0.479136    1.429071    2.340047    0.004844    
82          0.476595    0.493972    0.485128    1.411955    2.344268    0.004775    
83          0.476458    0.489498    0.482890    1.403768    2.344107    0.004706    
84          0.477228    0.495640    0.486260    1.399832    2.353713    0.004638    
85          0.473386    0.485453    0.479344    1.385073    2.352904    0.004569    
86          0.471284    0.486759    0.478896    1.371816    2.368990    0.004500    
87          0.475152    0.489424    0.482182    1.359716    2.383842    0.004431    
88          0.475805    0.492251    0.483888    1.349742    2.371355    0.004363    
89          0.475930    0.492372    0.484011    1.340852    2.374210    0.004294    
90          0.476780    0.485457    0.481080    1.329516    2.381239    0.004225    
91          0.474634    0.484542    0.479536    1.321197    2.365147    0.004156    
92          0.472892    0.487243    0.479961    1.302751    2.381150    0.004088    
93          0.475313    0.487432    0.481297    1.301045    2.388022    0.004019    
94          0.475597    0.491324    0.483332    1.288898    2.401176    0.003950    
95          0.475801    0.486673    0.481175    1.277905    2.411849    0.003881    
96          0.475288    0.487335    0.481236    1.266435    2.412564    0.003813    
97          0.472414    0.488678    0.480408    1.258945    2.430278    0.003744    
98          0.473218    0.484300    0.478695    1.251056    2.432669    0.003675    
99          0.472008    0.488011    0.479876    1.241111    2.420418    0.003606    
100         0.474435    0.481556    0.477969    1.233474    2.416586    0.003537    
101         0.467865    0.477046    0.472411    1.220461    2.453005    0.003469    
102         0.470365    0.481555    0.475894    1.213938    2.441306    0.003400    
103         0.469387    0.483823    0.476496    1.203579    2.438590    0.003331    
