epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.005106    0.374814    0.010076    5.307785    5.302983    0.000010    
2           0.042555    0.189505    0.069502    5.132082    4.860149    0.002008    
3           0.087886    0.147080    0.110027    4.703632    4.346866    0.004006    
4           0.134221    0.174332    0.151669    4.345182    4.005747    0.006004    
5           0.167855    0.186775    0.176810    4.112392    3.798275    0.008002    
6           0.186746    0.226801    0.204834    3.924818    3.670278    0.010000    
7           0.213129    0.239934    0.225739    3.742548    3.534789    0.009931    
8           0.251001    0.262860    0.256793    3.576045    3.303487    0.009863    
9           0.264827    0.282101    0.273191    3.441077    3.216092    0.009794    
10          0.279444    0.314786    0.296064    3.328256    3.134549    0.009725    
11          0.292487    0.331723    0.310872    3.231301    3.084089    0.009656    
12          0.318927    0.326999    0.322913    3.144564    2.933406    0.009588    
13          0.330826    0.361748    0.345597    3.040330    2.818064    0.009519    
14          0.345681    0.360811    0.353084    2.967859    2.768163    0.009450    
15          0.368065    0.394201    0.380685    2.882482    2.688673    0.009381    
16          0.373989    0.406718    0.389667    2.816335    2.656210    0.009312    
17          0.389928    0.405728    0.397671    2.751036    2.591168    0.009244    
18          0.388820    0.419950    0.403786    2.696941    2.578027    0.009175    
19          0.401066    0.415381    0.408098    2.652842    2.529808    0.009106    
20          0.404737    0.425362    0.414793    2.592448    2.512716    0.009038    
21          0.406619    0.426647    0.416393    2.550378    2.491542    0.008969    
22          0.411016    0.437718    0.423947    2.508709    2.484856    0.008900    
23          0.414396    0.438973    0.426330    2.478369    2.461077    0.008831    
24          0.416603    0.441205    0.428551    2.426632    2.452809    0.008762    
25          0.430269    0.447992    0.438952    2.392715    2.376520    0.008694    
26          0.431163    0.453044    0.441833    2.358222    2.382861    0.008625    
27          0.439191    0.463077    0.450818    2.323107    2.377401    0.008556    
28          0.440682    0.458317    0.449327    2.284321    2.350863    0.008488    
29          0.437749    0.460924    0.449038    2.262676    2.363497    0.008419    
30          0.448727    0.466606    0.457491    2.225050    2.312473    0.008350    
31          0.449043    0.468463    0.458548    2.201826    2.308685    0.008281    
32          0.456114    0.475615    0.465661    2.170803    2.268021    0.008212    
33          0.443567    0.469466    0.456149    2.140425    2.335347    0.008144    
34          0.454803    0.477084    0.465677    2.116731    2.289339    0.008075    
35          0.459891    0.477820    0.468684    2.092690    2.263643    0.008006    
