epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.003330    0.343496    0.006597    5.312682    5.310860    0.000010    
2           0.050680    0.183251    0.079401    5.087456    4.802982    0.002008    
3           0.091725    0.157856    0.116029    4.691888    4.365733    0.004006    
4           0.118650    0.191431    0.146499    4.372987    4.120830    0.006004    
5           0.157709    0.185922    0.170657    4.161401    3.854527    0.008002    
6           0.188453    0.249681    0.214789    3.975521    3.655810    0.010000    
7           0.219080    0.242537    0.230212    3.763875    3.470081    0.009931    
8           0.225439    0.258759    0.240952    3.621281    3.429619    0.009863    
9           0.262001    0.279838    0.270626    3.483097    3.259680    0.009794    
10          0.282105    0.292497    0.287207    3.371317    3.126139    0.009725    
11          0.306182    0.336782    0.320754    3.269632    3.017485    0.009656    
12          0.315743    0.334986    0.325080    3.168085    2.959248    0.009588    
13          0.336688    0.351268    0.343823    3.080374    2.854095    0.009519    
14          0.334248    0.353710    0.343704    2.999080    2.850096    0.009450    
15          0.354203    0.375340    0.364465    2.921599    2.736125    0.009381    
16          0.367759    0.383884    0.375649    2.853642    2.679951    0.009312    
17          0.376341    0.397003    0.386396    2.789214    2.631713    0.009244    
18          0.381440    0.396705    0.388923    2.735264    2.603398    0.009175    
19          0.394657    0.423952    0.408780    2.686139    2.557458    0.009106    
20          0.399628    0.427069    0.412893    2.630014    2.523018    0.009038    
21          0.408041    0.429560    0.418524    2.590767    2.490945    0.008969    
22          0.405697    0.423981    0.414637    2.545258    2.510199    0.008900    
23          0.418097    0.439969    0.428754    2.509848    2.440537    0.008831    
24          0.427830    0.450446    0.438847    2.467417    2.405588    0.008762    
25          0.425136    0.452417    0.438352    2.421324    2.407330    0.008694    
26          0.432104    0.454624    0.443078    2.401633    2.394085    0.008625    
27          0.435639    0.457119    0.446121    2.363766    2.350027    0.008556    
28          0.433711    0.460038    0.446487    2.325243    2.358872    0.008488    
29          0.442510    0.463616    0.452817    2.308095    2.338217    0.008419    
30          0.444554    0.466615    0.455317    2.276345    2.335238    0.008350    
31          0.449832    0.480198    0.464519    2.255494    2.309997    0.008281    
32          0.448014    0.471899    0.459646    2.226035    2.297862    0.008212    
33          0.450436    0.470509    0.460254    2.194548    2.281792    0.008144    
34          0.451887    0.474694    0.463010    2.174370    2.296663    0.008075    
35          0.451990    0.473142    0.462324    2.141685    2.293665    0.008006    
36          0.456532    0.477886    0.466965    2.119230    2.259915    0.007938    
37          0.450967    0.470015    0.460294    2.104035    2.307374    0.007869    
38          0.456646    0.486071    0.470899    2.086202    2.300349    0.007800    
39          0.461460    0.471541    0.466446    2.060262    2.268222    0.007731    
40          0.464520    0.489331    0.476603    2.044121    2.249518    0.007663    
41          0.465851    0.484830    0.475151    2.012293    2.253138    0.007594    
42          0.467655    0.486113    0.476706    1.993739    2.241268    0.007525    
43          0.466742    0.483514    0.474980    1.977815    2.229757    0.007456    
44          0.472268    0.487827    0.479921    1.952842    2.242114    0.007388    
45          0.465372    0.487644    0.476248    1.943509    2.246363    0.007319    
46          0.474023    0.484553    0.479230    1.919923    2.215106    0.007250    
47          0.473434    0.491571    0.482332    1.899430    2.211295    0.007181    
48          0.472432    0.485888    0.479066    1.880954    2.225095    0.007112    
49          0.467269    0.493018    0.479798    1.865494    2.262108    0.007044    
50          0.473742    0.492273    0.482830    1.853973    2.242924    0.006975    
51          0.469140    0.486313    0.477572    1.837476    2.229749    0.006906    
52          0.472440    0.488538    0.480354    1.815784    2.220741    0.006838    
53          0.476064    0.490701    0.483271    1.802775    2.207612    0.006769    
54          0.476535    0.486454    0.481443    1.790624    2.236329    0.006700    
55          0.476311    0.491260    0.483670    1.770726    2.220203    0.006631    
56          0.474850    0.490698    0.482644    1.752525    2.224197    0.006562    
57          0.475210    0.490915    0.482935    1.738163    2.260352    0.006494    
58          0.468538    0.487642    0.477899    1.732426    2.262478    0.006425    
59          0.474601    0.497004    0.485545    1.710839    2.234095    0.006356    
60          0.474032    0.494937    0.484259    1.695363    2.258228    0.006288    
61          0.472705    0.488478    0.480462    1.679351    2.246843    0.006219    
62          0.474847    0.490033    0.482320    1.671832    2.234878    0.006150    
63          0.469507    0.489634    0.479359    1.658263    2.259484    0.006081    
64          0.476790    0.489494    0.483058    1.635576    2.243866    0.006013    
65          0.482269    0.497848    0.489935    1.624109    2.252549    0.005944    
66          0.477593    0.495375    0.486321    1.615869    2.264157    0.005875    
67          0.479426    0.491232    0.485257    1.604094    2.257600    0.005806    
68          0.478543    0.495827    0.487031    1.588938    2.247107    0.005737    
69          0.472529    0.490468    0.481331    1.575205    2.291593    0.005669    
70          0.477167    0.488791    0.482909    1.554489    2.272811    0.005600    
71          0.477707    0.494802    0.486105    1.545857    2.298291    0.005531    
72          0.478755    0.490851    0.484728    1.541937    2.282843    0.005463    
73          0.478335    0.493893    0.485990    1.527746    2.300065    0.005394    
74          0.481897    0.492951    0.487361    1.515554    2.270745    0.005325    
75          0.477461    0.490092    0.483694    1.506636    2.298076    0.005256    
76          0.474385    0.492787    0.483411    1.495471    2.307518    0.005188    
77          0.477064    0.491637    0.484241    1.483364    2.298191    0.005119    
78          0.476995    0.489567    0.483200    1.464435    2.315329    0.005050    
79          0.478516    0.492420    0.485369    1.453476    2.314041    0.004981    
80          0.475730    0.489816    0.482670    1.441204    2.345126    0.004913    
81          0.477977    0.490484    0.484150    1.429796    2.291536    0.004844    
82          0.479129    0.491339    0.485157    1.423703    2.331901    0.004775    
83          0.485501    0.502290    0.493753    1.407309    2.319926    0.004706    
84          0.472680    0.489358    0.480874    1.394326    2.354097    0.004638    
85          0.482656    0.498824    0.490607    1.385683    2.321677    0.004569    
86          0.474328    0.486380    0.480278    1.378023    2.330519    0.004500    
87          0.477111    0.493059    0.484954    1.361041    2.354496    0.004431    
88          0.475230    0.486585    0.480841    1.355640    2.351038    0.004363    
89          0.476796    0.489236    0.482936    1.346546    2.347686    0.004294    
90          0.475951    0.488514    0.482151    1.336910    2.375192    0.004225    
91          0.478529    0.486667    0.482564    1.322322    2.363490    0.004156    
92          0.475096    0.486367    0.480665    1.312896    2.386964    0.004088    
93          0.473053    0.489207    0.480994    1.299551    2.390994    0.004019    
94          0.479098    0.492803    0.485854    1.295905    2.368177    0.003950    
95          0.477809    0.491711    0.484660    1.282144    2.394085    0.003881    
96          0.476211    0.491088    0.483535    1.273744    2.392724    0.003813    
97          0.475702    0.490438    0.482957    1.259133    2.403043    0.003744    
98          0.475370    0.487882    0.481545    1.253527    2.408160    0.003675    
99          0.474102    0.488608    0.481245    1.243091    2.427320    0.003606    
100         0.479721    0.487762    0.483708    1.236902    2.406872    0.003537    
101         0.476222    0.486405    0.481260    1.222470    2.404900    0.003469    
102         0.475426    0.486352    0.480827    1.215652    2.437640    0.003400    
103         0.466739    0.478724    0.472655    1.203842    2.435617    0.003331    
104         0.477405    0.483867    0.480614    1.192103    2.436197    0.003262    
105         0.471905    0.482559    0.477172    1.186558    2.436023    0.003194    
106         0.474942    0.481511    0.478204    1.180191    2.440442    0.003125    
107         0.471710    0.479240    0.475445    1.166736    2.457931    0.003056    
108         0.470668    0.485015    0.477734    1.156197    2.473860    0.002987    
109         0.471429    0.484794    0.478018    1.151620    2.473607    0.002919    
110         0.470683    0.477218    0.473928    1.141873    2.469994    0.002850    
111         0.466273    0.474413    0.470308    1.136606    2.462839    0.002781    
112         0.470444    0.480027    0.475187    1.129393    2.472760    0.002712    
113         0.467974    0.476872    0.472381    1.114627    2.499751    0.002644    
